model,mean_accuracy,std_accuracy,mean_emissions,runs,efficiency
cnn,85.83296296296298,19.904531894994367,0.0001772792765658575,6,484168.0574608893
logreg,97.15277777777777,0.12858612496840718,3.258435446810844e-05,8,2981577.489063499
rf,96.83333333333334,0.152145154862535,9.664558985634457e-06,5,10019425.974560022
svm,97.5,0.0,5.411349954639555e-06,4,18017685.201897904
